Tabet & Almeida Hotéis,24 2453 3797,Hotel,
Casa do Cimento,24 2453 2048,Construção,"cimento, areia, saibro"
Rápido Água e Gás,24 2452 9735,"Água, Gás",
Dra. Cristiane Anísio Santana,24 2453 4470,Dentistas,endodontia
Casa do Sofá,24 2453 2909,Móveis,"sofás, dormitórios, mesas, cadeiras, armários, colchão, decoração"
CEVO Odontologia Integrada,24 2453 4689,Dentistas,"clínica, endodontia, periodontia, ortodontia, próteses, aparelhos"
Dimax Consertos,24 2458 4441,"Assistência, Oficinas","consertos, lavadoras, microondas"
Hortifruti Barroso,24 2453 2171,Quitandas,"verduras, legumes, frutas, ovos, linguiças, doces"
Compro Metal,24 2453 1880,Sucata,"compra, alumínio, ferro, panelas, grades"
Marcos Chorão,24 9244 5588,Oficinas,"portas, aço, manutenção"
Edésio Valente Abreu,24 2453 2063,Arquitetos,
Pousada Cachoeira de Pentagna,24 2452 9358,Pousadas,
Magno Construções,24 2453 0933,Construção,"esquadrias, caixas, ferramentas, tintas, cabos, portas, janelas"
Auto Center Aluisio,24 2452 0765,Oficinas,"pneus, troca, balanceamento, alinhamento, calibragem"
PIT STOP Modas,24 2453 4479,Roupas,"feminino, acessórios"
Lanchonete Vó Iracema,24 2453 3327,Lanches,"salgados, massas, bebidas"
Salão Cortez Unissex,24 2452 1412,Cabeleireiros,"cortes, hidratação, escovas, tintura, manicure, pedicure"
Lanchonete Lú e Vera,24 2452 0012,"Lanches, Celulares","salgados, bebidas, doces, acessórios, baterias, recarga"
Mão na Massa Ind. Alimentos Ltda,24 2458 4262,Alimentos,"coxinha, quibe, pastel, esfiha, risoles, empadas, festas, encomendas"
S & S Antiguidades,24 2452 1624,Antiquários,"antiguidades, compra, venda, restauração"
Lúcia Modas e Presentes,24 2453 3679,"Roupas, Presentes","masculino, feminino, infantil, presentes"
Casa do Amigo Pescador,24 2453 4635,"Aquariofilia, Pesca","aquários, ração, molinetes, anzol, varas, iscas"
Doce Mania,24 2452 0060,Doces,"atacado, doces, biscoitos, pipocas, encomendas"
Ass. Apos. Pensionistas de Valença,24 2452 3926,Associações,
Valença Radiadores,24 2453 2721,Oficinas,"radiadores, nacionais, importados"
DIVINA,24 2453 8666,Roupas,"íntima, pijamas, meias, masculino, feminino, infantil"
Celular e Cia,24 2453 3234,Celulares,manutenção
Gema da Roça,24 2438 2327,Restaurantes,
Tadeu Pneus,24 2452 7770,Oficinas,"alinhamento, balanceamento, escapamento, freio, óleo, vidro, suspensão"
Bem-te-vi Moda Infantil,24 2452 6822,Roupas,infantil
Hello Idiomas e Cia. De Arte,24 2452 1846,Idiomas,"inglês, francês, espanhol, artes, educação, infantil"
Pastelaria do Tio Ori,24 2452 6016,Pastelarias,"pastel, refrigerantes, entrega"
Prosperidade Ass. Técnica,24 2453 3359,Oficinas,"consertos, fogão, lavadoras, refrigeração, peças, acessórios"
Marilene - Disk Feijoada,24 2452 4931,Refeição,"quentinhas, entrega"
Lanchonete X-Télio,24 2452 2429,Lanches,"sanduíches, refrigerantes, entrega"
La Copyar,24 2452 0532,Papelarias,"cópias, papelaria, presentes"
"Lanchonete ""Mil Sabores""",24 2452 6157,Lanches,"sanduíches, salgados, bebidas, vitaminas, sorvetes"
Disk Remédio Drogaria,24 2452 1687,Drogarias,"medicamentos, entrega"
Clindent,24 2453 1810,Dentistas,"clínica, endodontia "
Pousada Rio das Flores,24 2458 1036,Pousadas,"frigobar, TV, lareira, ar condicionado"
TOPIC,24 2452 7373,Transporte,"vans, viagens, shows, eventos"
